School Name,Reading,Math,Writing,Total,Address,lat,lng
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,394,400,364,1158,"333 E 151st St, Bronx, NY 10451, USA",40.8189146,-73.9200131
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,398,416,370,1184,"455 Southern Blvd, Bronx, NY 10455",40.81043606,-73.90699925
HEALTH OPPORTUNITIES HIGH SCHOOL,363,368,364,1095,"350 Gerard Ave, Bronx, NY 10451, USA",40.8156611,-73.9303416
RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,384,385,389,1158,"3000 E Tremont Ave, Bronx, NY 10462",40.84037599,-73.83970003
GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,416,390,394,1200,"211 W 61st St, New York, NY 10023",40.77279364,-73.9879741
PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,337,361,340,1038,"1980 Lafayette Ave # 4, Bronx, NY 10473",40.8211726,-73.8567899
MILLENNIUM ART ACADEMY,387,402,375,1164,"1980 Lafayette Ave, Bronx, NY 10473, USA",40.8211726,-73.8567899
BRONX COMMUNITY HIGH SCHOOL,367,369,376,1112,"Bronx, NY, USA",40.8447819,-73.8648268
HERBERT H. LEHMAN HIGH SCHOOL,412,436,393,1241,"3000 E Tremont Ave, Bronx, NY 10461, USA",40.8400063,-73.8392547
BRONX GUILD,369,371,365,1105,"Bronx, NY, USA",40.8447819,-73.8648268
"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",373,370,356,1099,"1440 Story Ave, Bronx, NY 10473, USA",40.820831,-73.8806876
BANANA KELLY HIGH SCHOOL,373,381,377,1131,"965 Longwood Ave, Bronx, NY 10459, USA",40.8176439,-73.8980239
SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,366,400,368,1134,"1980 Lafayette Ave, Bronx, NY 10473, USA",40.82165151,-73.85536397
HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,404,368,399,1171,"Bronx, NY, USA",40.8447819,-73.8648268
JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,377,359,376,1112,"900 Tinton Ave, Bronx, NY 10456, USA",40.8217805,-73.9030292
BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,324,376,349,1049,"Bronx, NY, USA",40.8447819,-73.8648268
EAGLE ACADEMY FOR YOUNG MEN,373,387,374,1134,"4143 Third Ave, Bronx, NY 10457, USA",40.845264,-73.897176
URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN,372,355,357,1084,"240 E 172nd St #477, Bronx, NY 10457",40.83972752,-73.91088165
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,411,464,415,1290,"1595 Bathgate Ave, Bronx, NY 10457, USA",40.8394571,-73.9018947
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,393,394,382,1169,"1363 Fulton Ave, Bronx, NY 10456, USA",40.8339721,-73.9027472
MOTT HALL BRONX HIGH SCHOOL,369,367,356,1092,"1595 Bathgate Ave, Bronx, NY 10457, USA",40.8390693,-73.9020614
BRONX CENTER FOR SCIENCE AND MATHEMATICS,459,480,457,1396,"1363 Fulton Ave, Bronx, NY 10456, USA",40.8339407,-73.9025746
VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,356,363,356,1075,"1595 Bathgate Ave, Bronx, NY 10457, USA",40.8397979,-73.9016265
LEADERSHIP INSTITUTE,361,353,367,1081,1701 Fulton Avenue Bronx NY 10457,40.84129425,-73.89831597
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,386,386,376,1148,"1110 Boston Rd, Bronx, NY 10456, USA",40.8273033,-73.9045097
DREAMYARD PREPARATORY SCHOOL,382,365,391,1138,"240 E 172nd St, Bronx, NY 10457, USA",40.8396259,-73.9113888
ACADEMY FOR LANGUAGE AND TECHNOLOGY,315,339,297,951,"1700 Macombs Rd, Bronx, NY 10453, USA",40.8493122,-73.915653
BRONX INTERNATIONAL HIGH SCHOOL,314,312,339,965,"1110 Boston Rd, Bronx, NY 10456, USA",40.8269361,-73.9035648
SCHOOL FOR EXCELLENCE,363,360,351,1074,"1110 Boston Rd, Bronx, NY 10456, USA",40.82736187,-73.90455131
BRONX HIGH SCHOOL OF BUSINESS,356,376,351,1083,"240 E 172nd St, Bronx, NY 10457, USA",40.8396545,-73.911386
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,400,419,402,1221,"240 E 172nd St, Bronx, NY 10457, USA",40.8398672,-73.9111588
JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,379,364,379,1122,"240 E 172nd St, Bronx, NY 10457, USA",40.8398672,-73.9111588
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",404,418,402,1224,"244 E 163rd St, Bronx, NY 10451, USA",40.8274689,-73.9188614
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,368,384,369,1121,"3630 Third Ave, Bronx, NY 10456, USA",40.8334855,-73.9043324
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,384,394,388,1166,"1710 Webster Ave, Bronx, NY 10457, USA",40.8434287,-73.9031094
HIGH SCHOOL FOR VIOLIN AND DANCE,353,315,371,1039,"1110 Boston Rd, Bronx, NY 10456, USA",40.8273033,-73.9045097
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),438,455,440,1333,"660 W 237th St, Bronx, NY 10463, USA",40.8876785,-73.9133783
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,373,412,365,1150,"99 Terrace View Ave, New York, NY 10463, USA",40.8770191,-73.9125331
THEATRE ARTS PRODUCTION COMPANY SCHOOL,405,391,394,1190,"2225 Webster Ave, Bronx, NY 10457, USA",40.8545833,-73.8971953
"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",382,393,382,1157,"120 W 231st St, Bronx, NY 10463, USA",40.8756546,-73.9016277
WEST BRONX ACADEMY FOR THE FUTURE,382,406,370,1158,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8599092,-73.8883411
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,304,356,302,962,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.8701132,-73.8964878
BRONX SCHOOL OF LAW AND FINANCE,402,395,385,1182,"99 Terrace View Ave #804, Bronx, NY 10463, USA",40.8778267,-73.9137832
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,300,333,301,934,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.8704419,-73.8969425
INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),390,408,383,1181,"Mississippi, USA",32.3546679,-89.3985283
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),392,401,387,1180,"500 E Fordham Rd, Bronx, NY 10458, USA",40.859837,-73.8882078
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),343,356,330,1029,"99 Terrace View Ave, New York, NY 10463, USA",40.8770507,-73.912562
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,370,371,365,1106,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.8707784,-73.897505
BELMONT PREPARATORY HIGH SCHOOL,404,418,400,1222,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8596644,-73.8880163
FORDHAM HIGH SCHOOL FOR THE ARTS,355,350,372,1077,"500 E Fordham Rd, Bronx, NY 10458, USA",40.859836,-73.8882002
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,367,385,367,1119,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8598708,-73.8882672
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,366,364,352,1082,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8596908,-73.888067
DEWITT CLINTON HIGH SCHOOL,419,426,410,1255,"100 W Mosholu Pkwy S, Bronx, NY 10468, USA",40.8812165,-73.8875851
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",423,420,427,1270,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.8708507,-73.8974495
BRONX HIGH SCHOOL OF SCIENCE,632,688,649,1969,"75 W 205th St, Bronx, NY 10468, USA",40.8783912,-73.8911437
JOHN F. KENNEDY HIGH SCHOOL,351,362,339,1052,"99 Terrace View Ave, Bronx, NY 10463",40.87777652,-73.91475691
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,414,435,414,1263,"99 Terrace View Ave, Bronx, NY 10463, USA",40.8776626,-73.913269
BRONX THEATRE HIGH SCHOOL,348,362,354,1064,"99 Terrace View Ave, Bronx, NY 10463, USA",40.8776931,-73.91333
DISCOVERY HIGH SCHOOL,372,379,364,1115,"1335 Old Norcross Rd, Lawrenceville, GA 30046, USA",33.9553149,-84.034843
GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,362,382,356,1100,"2474 Crotona Ave, Bronx, NY 10458",40.85548272,-73.88260404
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,636,648,636,1920,"2925 Goulden Ave, Bronx, NY 10468, USA",40.8747654,-73.895071
BRONX HEALTH SCIENCES HIGH SCHOOL,370,381,382,1133,"750 Baychester Ave, Bronx, NY 10475, USA",40.874013,-73.8330371
