School Name,Reading,Math,Writing,Address,lat,lng
BRONX CENTER FOR SCIENCE AND MATHEMATICS,459,480,457,"1363 Fulton Ave, Bronx, NY 10456, USA",40.8339407,-73.9025746
VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,356,363,356,"1595 Bathgate Ave, Bronx, NY 10457, USA",40.8397979,-73.90162649999999
LEADERSHIP INSTITUTE,361,353,367,None,None,None
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,386,386,376,"1110 Boston Rd, Bronx, NY 10456, USA",40.8273033,-73.9045097
DREAMYARD PREPARATORY SCHOOL,382,365,391,"240 E 172nd St, Bronx, NY 10457, USA",40.8396259,-73.9113888
ACADEMY FOR LANGUAGE AND TECHNOLOGY,315,339,297,"1700 Macombs Rd, Bronx, NY 10453, USA",40.8493122,-73.91565299999999
BRONX INTERNATIONAL HIGH SCHOOL,314,312,339,"1110 Boston Rd, Bronx, NY 10456, USA",40.8269361,-73.9035648
SCHOOL FOR EXCELLENCE,363,360,351,None,None,None
BRONX HIGH SCHOOL OF BUSINESS,356,376,351,"240 E 172nd St, Bronx, NY 10457, USA",40.83965449999999,-73.911386
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,400,419,402,"240 E 172nd St, Bronx, NY 10457, USA",40.8398672,-73.9111588
JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,379,364,379,"240 E 172nd St, Bronx, NY 10457, USA",40.8398672,-73.9111588
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",404,418,402,"244 E 163rd St, Bronx, NY 10451, USA",40.8274689,-73.9188614
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,368,384,369,"3630 Third Ave, Bronx, NY 10456, USA",40.83348549999999,-73.9043324
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,384,394,388,"1710 Webster Ave, Bronx, NY 10457, USA",40.8434287,-73.90310939999999
HIGH SCHOOL FOR VIOLIN AND DANCE,353,315,371,"1110 Boston Rd, Bronx, NY 10456, USA",40.8273033,-73.9045097
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),438,455,440,"660 W 237th St, Bronx, NY 10463, USA",40.8876785,-73.91337829999999
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,373,412,365,"99 Terrace View Ave, New York, NY 10463, USA",40.8770191,-73.91253309999999
THEATRE ARTS PRODUCTION COMPANY SCHOOL,405,391,394,"2225 Webster Ave, Bronx, NY 10457, USA",40.8545833,-73.89719529999999
"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",382,393,382,"120 W 231st St, Bronx, NY 10463, USA",40.8756546,-73.90162769999999
WEST BRONX ACADEMY FOR THE FUTURE,382,406,370,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8599092,-73.88834109999999
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,304,356,302,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.8701132,-73.8964878
BRONX SCHOOL OF LAW AND FINANCE,402,395,385,"99 Terrace View Ave #804, Bronx, NY 10463, USA",40.87782670000001,-73.9137832
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,300,333,301,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.8704419,-73.8969425
INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),390,408,383,"Mississippi, USA",32.3546679,-89.3985283
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),392,401,387,"500 E Fordham Rd, Bronx, NY 10458, USA",40.859837,-73.8882078
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),343,356,330,"99 Terrace View Ave, New York, NY 10463, USA",40.8770507,-73.912562
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,370,371,365,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.8707784,-73.897505
BELMONT PREPARATORY HIGH SCHOOL,404,418,400,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8596644,-73.88801629999999
FORDHAM HIGH SCHOOL FOR THE ARTS,355,350,372,"500 E Fordham Rd, Bronx, NY 10458, USA",40.859836,-73.8882002
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,367,385,367,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8598708,-73.8882672
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,366,364,352,"500 E Fordham Rd, Bronx, NY 10458, USA",40.8596908,-73.888067
DEWITT CLINTON HIGH SCHOOL,419,426,410,"100 W Mosholu Pkwy S, Bronx, NY 10468, USA",40.8812165,-73.8875851
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",423,420,427,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.87085070000001,-73.8974495
BRONX HIGH SCHOOL OF SCIENCE,632,688,649,"75 W 205th St, Bronx, NY 10468, USA",40.8783912,-73.8911437
JOHN F. KENNEDY HIGH SCHOOL,351,362,339,None,None,None
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,414,435,414,"99 Terrace View Ave, Bronx, NY 10463, USA",40.8776626,-73.913269
BRONX THEATRE HIGH SCHOOL,348,362,354,"99 Terrace View Ave, Bronx, NY 10463, USA",40.87769309999999,-73.91333
DISCOVERY HIGH SCHOOL,372,379,364,"1335 Old Norcross Rd, Lawrenceville, GA 30046, USA",33.9553149,-84.034843
GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,362,382,356,None,None,None
GRACE DODGE YABC,350,356,317,None,None,None
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,636,648,636,"2925 Goulden Ave, Bronx, NY 10468, USA",40.8747654,-73.895071
BRONX HEALTH SCIENCES HIGH SCHOOL,370,381,382,"750 Baychester Ave, Bronx, NY 10475, USA",40.874013,-73.8330371
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,400,357,390,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8753426,-73.8615889
BRONX LAB SCHOOL,377,391,367,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8748792,-73.8619068
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,386,394,361,"921 E 228th St, Bronx, NY 10466, USA",40.8880709,-73.85270059999999
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,381,376,354,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8754469,-73.86117689999999
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,444,471,433,"925 Astor Ave, Bronx, NY 10469, USA",40.8603747,-73.8603398
BRONX ACADEMY OF HEALTH CAREERS,387,365,383,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8750988,-73.86166229999999
ASTOR COLLEGIATE ACADEMY,387,391,391,"925 Astor Ave, Bronx, NY 10469, USA",40.8599147,-73.86007860000001
CHRISTOPHER COLUMBUS HIGH SCHOOL,367,361,353,"3000 SW 87th Ave, Miami, FL 33165, USA",25.741643,-80.338617
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,419,433,416,"2040 Antin Pl, Bronx, NY 10462, USA",40.8517412,-73.8644982
HARRY S TRUMAN HIGH SCHOOL,386,397,368,"750 Baychester Ave, Bronx, NY 10475, USA",40.8741473,-73.8328179
NEW WORLD HIGH SCHOOL,332,381,335,"921 E 228th St, Bronx, NY 10466, USA",40.8880709,-73.85270059999999
THE BRONXWOOD PREPARATORY ACADEMY,377,372,363,"921 E 228th St, Bronx, NY 10466, USA",40.8880709,-73.85270059999999
GLOBAL ENTERPRISE HIGH SCHOOL,372,382,375,None,None,None
PELHAM PREPARATORY ACADEMY,431,438,419,"925 Astor Ave, Bronx, NY 10469, USA",40.8603116,-73.8602433
HIGH SCHOOL FOR CONTEMPORARY ARTS,383,378,365,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8751267,-73.8617246
BRONX AEROSPACE HIGH SCHOOL,388,393,382,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8755654,-73.8614327
NEW DAY ACADEMY,348,344,354,"800 Home St, Bronx, NY 10456, USA",40.8271204,-73.9008891
"METROPOLITAN HIGH SCHOOL, THE",347,367,341,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",40.82773299999999,-73.897018
EXPLORATIONS ACADEMY,381,381,360,"1701 Ellis St STE 215, Bellingham, WA 98225, USA",48.7526416,-122.4723572
PERFORMANCE CONSERVATORY HIGH SCHOOL,361,353,360,None,None,None
BRONX LATIN,408,432,411,"800 Home St, Bronx, NY 10456, USA",40.8277047,-73.9006169
EAST BRONX ACADEMY FOR THE FUTURE,366,378,358,"1716 Southern Blvd, Bronx, NY 10460, USA",40.8368092,-73.8876647
PEACE AND DIVERSITY ACADEMY,390,401,364,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",40.82771899999999,-73.8970008
