Node,closeness Centrality,standardized closeness
Rockaway Park-Beach 116 St,3.77E-02,-1.86E+00
Bedford Park Blvd,4.94E-02,-1.25E+00
Kingsbridge Rd and Grand Concourse,5.20E-02,-1.11E+00
Fordham Rd and Grand Concourse,5.48E-02,-9.65E-01
182-183 Sts,5.79E-02,-8.02E-01
Tremont Av,6.14E-02,-6.19E-01
174-175 Sts,6.53E-02,-4.14E-01
170 St and Grand Concourse,6.98E-02,-1.83E-01
167 St and Tudor Pl,0.07479367263,0.08114119762
155 St and Frederick Douglas Blvd,0.08159819921,0.437532432
135 St and St. Nicholas Av,0.08458098386,0.5937575991
116 St and Frederick Douglass Blvd,0.08330141708,0.5267395078
Cathedral Pkwy (110 St) and Frederick Douglass Blvd,0.07700477961,0.1969492757
103 St and Central Park W,0.07159315339,-0.08648795147
96 St and Central Park W,7.06E-02,-1.37E-01
86 St and Central Park W,0.07481940144,0.08248876015
81 St-Museum of Natural History,0.08074995359,0.3931050497
72 St and Central Park W,0.0877016129,0.7572024505
7 Av and 53rd St,0.09294871795,1.032022781
47-50 Sts-Rockefeller Ctr,0.09640957447,1.213287254
42 St-Bryant Pk,0.1018973999,1.500715459
34 St-Herald Sq,0.1094064386,1.89400595
Broadway-Lafayette St,0.1045924501,1.641870362
Grand St,0.1042165788,1.622183874
DeKalb Av and Flatbush Av Ext,0.1082358796,1.832697204
7 Av and Park Pl,0.09956511788,1.378560767
Prospect Park,0.09152114454,0.9572527519
Church Av and 18th Street,0.08472925594,0.6015234398
Newkirk Plaza,0.07871878393,0.2867212986
Kings Hwy and E 15th St,0.07346731971,0.01167265376
Sheepshead Bay,0.06884000633,-0.2306857097
Brighton Beach,6.48E-02,-4.44E-01
163 St-Amsterdam Av,7.36E-02,1.82E-02
155 St and St Nicholas Av,0.07924940791,0.3145130533
50 St and 8th Av,0.09034267913,0.8955299065
23 St and 8th Av,0.09677419355,1.232384401
Spring St and 6th Av,0.09660226516,1.223379546
Lafayette Av,0.08803885853,0.7748658961
Clinton-Washington Avs and Lafayette Av,8.20E-02,4.59E-01
Franklin Av and Fulton St,0.08314220183,0.518400512
Kingston-Throop Avs,0.08423702556,0.5757425731
Ralph Av,0.07876154264,0.2889608121
Rockaway Av and Fulton St,0.07505175983,0.09465867267
Liberty Av,0.07506471096,0.09533699566
Van Siclen Av and Pitkin Av,7.01E-02,-1.65E-01
Shepherd Av,0.07032007759,-0.1531660735
Norwood-205 St,4.71E-02,-1.37E+00
36 St and Fourth Av,0.09981642955,1.391723369
9 Av,0.09119496855,0.9401690855
Fort Hamilton Pkwy and 44th St,0.083944423,0.5604173355
50 St and New Utrecht Av,0.07778969957,0.238059938
55 St,0.0725,-0.03899130662
62 St,6.79E-02,-2.80E-01
71 St,6.39E-02,-4.90E-01
79 St and New Utrecht Av,6.04E-02,-6.73E-01
18 Av and 85 St,5.73E-02,-8.35E-01
20 Av and 86th St,5.46E-02,-9.77E-01
Bay Pkwy and 86th St,5.22E-02,-1.10E+00
25 Av,5.00E-02,-1.22E+00
Bay 50 St,5.24E-02,-1.09E+00
Coney Island-Stillwell Av,5.51E-02,-9.48E-01
Jamaica Center-Parsons/Archer,5.49E-02,-9.60E-01
Sutphin Blvd-Archer Av-JFK Airport,5.81E-02,-7.93E-01
Jamaica-Van Wyck,6.02E-02,-6.85E-01
Briarwood,6.25E-02,-5.61E-01
Kew Gardens-Union Tpke,6.53E-02,-4.17E-01
75 Av,6.85E-02,-2.48E-01
Forest Hills-71 Av,0.07224713503,-0.05223526395
Jackson Hts-Roosevelt Av,0.07682797598,0.1876890778
Queens Plaza,0.08238636364,0.4788130249
Court Sq-23 St,0.08100558659,0.4064939842
Lexington Av/53 St,0.08576498423,0.6557703411
5 Av/53 St,0.09142496847,0.9522154718
World Trade Center,0.08866693844,0.807761965
21 St,0.08184383819,0.4503979236
Greenpoint Av,0.07590298377,0.1392420461
Nassau Av,7.19E-02,-6.91E-02
Metropolitan Av,6.86E-02,-2.45E-01
Broadway and Union Av,6.73E-02,-3.14E-01
Flushing Av and Union Av,6.73E-02,-3.12E-01
