Node,Node Degree
Whitehall St-South Ferry,3
Court St,2
Union St,4
Prospect Av and 4th Av,3
25 St,2
45 St,2
53 St,2
Bay Ridge Av,2
77 St and Fourth Av,2
86 St and 4th Av,2
Bay Ridge-95 St,1
121 St,2
104 St and Jamaica Av,2
Woodhaven Blvd and Jamaica Av,2
75 St-Elderts Ln,2
Crescent St,2
Norwood Av,2
Van Siclen Av and Fulton St,2
Alabama Av,2
Chauncey St,2
Gates Av,2
Myrtle Av,2
Marcy Av,2
Delancey St-Essex St,2
Bowery,2
Chambers St and Centre St,2
Broad St,1
St George,2
Tompkinsville,2
Stapleton,2
Clifton,2
Grasmere,2
Old Town,2
Dongan Hills,2
Jefferson Av,2
Grant City,2
New Dorp,2
Oakwood Heights,2
Bay Terrace,2
Great Kills,2
Eltingville,2
Annadale,2
Huguenot,2
Prince's Bay,2
Pleasant Plains,2
Richmond Valley,2
Arthur Kill,2
Tottenville,1
