School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust
The High School of Fashion Industries - [HS] 02M600,23 St and 8th Av,-0.32,1.232384401,-0.6685599181,0.8046835199,1.609486633,3.65,3.88,4.35,3.84,3.82,3.41,3.79
Humanities Preparatory Academy - [HS] 02M605,18 St,-0.32,1.045583354,-0.6446890339,0.2312736952,1.389874821,4.0,4.08,4.87,3.92,4.22,3.57,4.17
Chelsea Career and Technical Education High School - [HS] 02M615,Spring St and 6th Av,-0.32,1.223379546,-0.6685599181,0.6805606009,2.763448633,3.76,3.15,3.03,3.26,2.9,3.36,3.55
Art and Design High School - [HS] 02M630,Lexington Av/53 St,-0.32,0.6557703411,-0.2414575831,-0.2827837988,1.511222756,4.03,3.12,3.15,3.2,3.4,3.67,3.3
The High School for Climate Justice - [HS] 02M655,96 St and 2nd Av,0.52,-0.803,-0.6685599181,-0.381,1.646353658,3.28,2.39,3.94,2.84,4.21,3.06,3.9
West End Secondary School - [HS] 03M291,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.55,4.72,3.2,3.91,2.26,3.84,3.11
The Maxine Greene HS for Imaginative Inquiry - [HS] 03M299,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.626112938,3.14,2.34,3.41,3.0,3.56,4.07,2.72
"Urban Assembly School for Media Studies, The - [HS] 03M307",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.526306912,3.51,3.76,4.18,3.35,3.76,4.1,3.72
The Urban Assembly School for Green Careers - [HS] 03M402,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.526306912,3.41,3.94,3.31,3.09,3.1,1.79,2.28
The Global Learning Collaborative - [HS] 03M403,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.147950025,3.14,3.25,4.31,3.62,3.97,3.04,4.02
Wadleigh Secondary School for the Performing & Visual Arts - [HS] 03M415,116 St and Frederick Douglass Blvd,-0.32,0.5267395078,-0.4641095252,-0.291084006,1.526306912,4.0,2.23,3.3,2.88,3.2,2.52,2.94
