Node,eigenvector Centrality,standardized eigenvector
Borough Hall,0.03408052771,0.3472362639
Hoyt St,0.02793112266,0.2157462202
Nevins St,0.0850194363,1.436440711
Atlantic Av-Barclays Ctr,0.3005132313,6.044250463
Bergen St and Flatbush Av,0.07620374676,1.24793867
Grand Army Plaza,2.44E-02,1.41E-01
Eastern Pkwy-Brooklyn Museum,0.02792820495,0.215683832
Franklin Av-Medgar Evers College,0.09466695892,1.642729476
President St-Medgar Evers College,0.02358667316,0.1228507528
Sterling St,0.005908232403,-0.2551596289
Winthrop St,0.001606661976,-0.3471382316
Church Av and Nostrand Av,0.0009428313232,-0.3613326327
Beverly Rd,0.002413780519,-0.3298799682
Newkirk Av-Little Haiti,0.0005989920248,-0.3686847984
Flatbush Av-Brooklyn College,0.0001404669656,-0.3784892395
Harlem-148 St,1.19E-05,-3.81E-01
Lenox Av and W 145 St,5.07E-05,-3.80E-01
Nostrand Av and Eastern Pkwy,0.02504089423,0.1539457272
Kingston Av,1.21E-02,-1.23E-01
Crown Hts-Utica Av,0.02659422161,0.1871598486
Sutter Av-Rutland Rd,0.006623624213,-0.2398627181
Saratoga Av,0.001649677968,-0.3462184395
Rockaway Av and Livonia Av,0.0004108628736,-0.3727074819
Junius St,0.0001023252893,-0.3793048064
Pennsylvania Av,2.55E-05,-3.81E-01
Van Siclen Av and Livonia Av,6.32E-06,-3.81E-01
New Lots Av and Warwick St,1.48E-06,-3.81E-01
Woodlawn,1.24E-10,-3.81E-01
Mosholu Pkwy,5.27E-10,-3.81E-01
Bedford Park Blvd-Lehman College,2.12E-09,-3.81E-01
Kingsbridge Rd and Jerome Av,8.51E-09,-3.81E-01
Fordham Rd and Jerome Av,3.41E-08,-3.81E-01
183 St,1.37E-07,-3.81E-01
Burnside Av,5.49E-07,-3.81E-01
176 St,2.20E-06,-3.81E-01
Mt Eden Av,8.85E-06,-3.81E-01
170 St and Jerome Av,3.55E-05,-3.81E-01
167 St and River Av,0.000142438256,-0.3784470883
161 St-Yankee Stadium,0.0005716131536,-0.3692702288
138 St-Grand Concourse,0.001212704313,-0.3555620564
125 St and Lexington Av,0.004675011469,-0.2815290538
86 St and Lexington Av,0.016331671,-0.03227979138
59 St and Lexington Av,0.05369306349,0.7666025554
Grand Central-42 St,0.1504411885,2.835325481
14 St-Union Sq,0.3763497343,7.665829304
Brooklyn Bridge-City Hall,0.2095269535,4.098730602
Wall St and Broadway,0.03493301039,0.3654645291
Bowling Green,0.016185235,-0.03541096853
Eastchester-Dyre Av,1.77E-12,-3.81E-01
Baychester Av,7.55E-12,-3.81E-01
Gun Hill Rd and Sexton Pl,3.04E-11,-3.81E-01
Pelham Pkwy and Laconia Av,1.22E-10,-3.81E-01
Morris Park,4.89E-10,-3.81E-01
Pelham Bay Park,6.00E-14,-3.81E-01
Buhre Av,2.55E-13,-3.81E-01
Middletown Rd,1.03E-12,-3.81E-01
Westchester Sq-E Tremont Av,4.13E-12,-3.81E-01
Zerega Av,1.66E-11,-3.81E-01
Castle Hill Av,6.65E-11,-3.81E-01
Parkchester,2.67E-10,-3.81E-01
St Lawrence Av,1.07E-09,-3.81E-01
Morrison Av-Soundview,4.30E-09,-3.81E-01
Elder Av,1.73E-08,-3.81E-01
Whitlock Av,6.93E-08,-3.81E-01
Hunts Point Av,2.78E-07,-3.81E-01
Longwood Av,1.12E-06,-3.81E-01
E 149 St,4.48E-06,-3.81E-01
E 143 St-St Mary's St,1.80E-05,-3.81E-01
Cypress Av,7.23E-05,-3.80E-01
Brook Av,0.0002900832524,-0.3752900598
3 Av-138 St,0.001164533158,-0.3565920792
116 St and Lexington Av,0.001223494411,-0.3553313364
110 St,0.0005414690775,-0.3699147864
103 St and Lexington,0.001085104131,-0.3582904754
96 St and Lexington Av,0.004084980021,-0.2941454387
77 St and Lexington Av,0.007179055279,-0.2279861781
68 St-Hunter College,0.0142770704,-0.07621241909
51 St,0.04787791183,0.6422597059
33 St,0.04292118497,0.5362721791
28 St and Park Av S,3.26E-02,3.15E-01
23 St and Park Av S,0.0959044054,1.669189254
Astor Pl,0.09929304809,1.741647121
Bleecker St,4.70E-02,6.24E-01
Spring St and Lafayette,0.1011470525,1.781290488
Canal St,0.3842701252,7.835187565
Flushing-Main St,7.10E-12,-3.81E-01
Mets-Willets Point,3.03E-11,-3.81E-01
111 St and Roosevelt Av,1.22E-10,-3.81E-01
103 St-Corona Plaza,4.89E-10,-3.81E-01
Junction Blvd,1.96E-09,-3.81E-01
90 St-Elmhurst Av,7.87E-09,-3.81E-01
82 St-Jackson Hts,3.16E-08,-3.81E-01
74 St-Broadway,1.27E-07,-3.81E-01
69 St,5.09E-07,-3.81E-01
61 St-Woodside,2.04E-06,-3.81E-01
52 St,8.20E-06,-3.81E-01
46 St-Bliss St,3.29E-05,-3.81E-01
40 St-Lowery St,0.0001320709933,-0.378668767
33 St-Rawson St,0.0005301162967,-0.370157538
Queensboro Plaza,0.002127859732,-0.3359936876
Court Sq,0.0028902597,-0.3196916218
Hunters Point Av,0.009474834837,-0.1788965259
Vernon Blvd-Jackson Av,0.03750689295,0.4205007364
5 Av,0.08308011661,1.394973084
34 St-Hudson Yards,0.04779547659,0.6404970291
Inwood-207 St,1.64E-06,-3.81E-01
Dyckman St and Broadway,7.01E-06,-3.81E-01
190 St,2.82E-05,-3.81E-01
181 St and Fort Washington Av,0.000113239978,-0.3790714223
175 St,0.0004544173771,-0.3717761749
168 St,0.001823576942,-0.3425000336
145 St and St Nicholas Av,0.006487629798,-0.2427706273
125 St and St Nicholas Av,0.01695686244,-0.01891159577
42 St-Port Authority Bus Terminal,0.051676084,0.7234743633
14 St and 8 Av,0.1055871393,1.876230926
W 4 St-Wash Sq,0.1507359026,2.841627224
Canal St and 6th Ave,0.06102319905,0.9233396443
Chambers St and Church St,0.04545045728,0.5903545049
High St,0.04823452257,0.6498849576
Jay St-MetroTech,0.0729029979,1.177360197
Hoyt-Schermerhorn Sts,0.02289859458,0.1081378691
Nostrand Av and Fulton St,0.00701390343,-0.231517548
Utica Av,0.002661884226,-0.3245748749
Broadway Junction,0.001329754291,-0.3530592278
Euclid Av,0.0003581873764,-0.373833819
Grant Av,8.92E-05,-3.80E-01
80 St,2.22E-05,-3.81E-01
88 St,5.53E-06,-3.81E-01
Rockaway Blvd,1.38E-06,-3.81E-01
104 St and Liberty Av,3.43E-07,-3.81E-01
111 St and Liberty Av,8.55E-08,-3.81E-01
Ozone Park-Lefferts Blvd,2.13E-08,-3.81E-01
Aqueduct Racetrack,5.30E-09,-3.81E-01
Howard Beach-JFK Airport,1.33E-09,-3.81E-01
Broad Channel,3.52E-10,-3.81E-01
Beach 67 St,8.77E-11,-3.81E-01
Beach 60 St,2.18E-11,-3.81E-01
Beach 44 St,5.44E-12,-3.81E-01
Beach 36 St,1.36E-12,-3.81E-01
Beach 25 St,3.37E-13,-3.81E-01
