School Name,Reading,Math,Writing,Total,Address,lat,lng,Stop Name,Stop Lat,Stop Lng
BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,324,376,349,1049,"Bronx, NY, USA",40.84478,-73.8648,,,
EAGLE ACADEMY FOR YOUNG MEN,373,387,374,1134,"4143 Third Ave, Bronx, NY 10457, USA",40.84526,-73.8972,,,
URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN,372,355,357,1084,"240 E 172nd St #477, Bronx, NY 10457",40.83973,-73.9109,,,
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,411,464,415,1290,"1595 Bathgate Ave, Bronx, NY 10457, USA",40.83946,-73.9019,,,
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,393,394,382,1169,"1363 Fulton Ave, Bronx, NY 10456, USA",40.83397,-73.9027,,,
MOTT HALL BRONX HIGH SCHOOL,369,367,356,1092,"1595 Bathgate Ave, Bronx, NY 10457, USA",40.83907,-73.9021,,,
BRONX CENTER FOR SCIENCE AND MATHEMATICS,459,480,457,1396,"1363 Fulton Ave, Bronx, NY 10456, USA",40.83394,-73.9026,,,
VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,356,363,356,1075,"1595 Bathgate Ave, Bronx, NY 10457, USA",40.8398,-73.9016,,,
LEADERSHIP INSTITUTE,361,353,367,1081,1701 Fulton Avenue Bronx NY 10457,40.84129,-73.8983,,,
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,386,386,376,1148,"1110 Boston Rd, Bronx, NY 10456, USA",40.8273,-73.9045,,,
DREAMYARD PREPARATORY SCHOOL,382,365,391,1138,"240 E 172nd St, Bronx, NY 10457, USA",40.83963,-73.9114,,,
ACADEMY FOR LANGUAGE AND TECHNOLOGY,315,339,297,951,"1700 Macombs Rd, Bronx, NY 10453, USA",40.84931,-73.9157,,,
BRONX INTERNATIONAL HIGH SCHOOL,314,312,339,965,"1110 Boston Rd, Bronx, NY 10456, USA",40.82694,-73.9036,,,
SCHOOL FOR EXCELLENCE,363,360,351,1074,"1110 Boston Rd, Bronx, NY 10456, USA",40.82736,-73.9046,,,
BRONX HIGH SCHOOL OF BUSINESS,356,376,351,1083,"240 E 172nd St, Bronx, NY 10457, USA",40.83965,-73.9114,,,
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,400,419,402,1221,"240 E 172nd St, Bronx, NY 10457, USA",40.83987,-73.9112,,,
JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,379,364,379,1122,"240 E 172nd St, Bronx, NY 10457, USA",40.83987,-73.9112,,,
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",404,418,402,1224,"244 E 163rd St, Bronx, NY 10451, USA",40.82747,-73.9189,,,
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,368,384,369,1121,"3630 Third Ave, Bronx, NY 10456, USA",40.83349,-73.9043,,,
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,384,394,388,1166,"1710 Webster Ave, Bronx, NY 10457, USA",40.84343,-73.9031,,,
HIGH SCHOOL FOR VIOLIN AND DANCE,353,315,371,1039,"1110 Boston Rd, Bronx, NY 10456, USA",40.8273,-73.9045,,,
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),438,455,440,1333,"660 W 237th St, Bronx, NY 10463, USA",40.88768,-73.9134,,,
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,373,412,365,1150,"99 Terrace View Ave, New York, NY 10463, USA",40.87702,-73.9125,,,
THEATRE ARTS PRODUCTION COMPANY SCHOOL,405,391,394,1190,"2225 Webster Ave, Bronx, NY 10457, USA",40.85458,-73.8972,,,
"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",382,393,382,1157,"120 W 231st St, Bronx, NY 10463, USA",40.87565,-73.9016,,,
WEST BRONX ACADEMY FOR THE FUTURE,382,406,370,1158,"500 E Fordham Rd, Bronx, NY 10458, USA",40.85991,-73.8883,,,
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,304,356,302,962,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.87011,-73.8965,,,
