Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust
-0.32,0.5267395078,-0.4641095252,-0.291084006,-0.2011752707,3.52,2.87,3.18,3.95,3.36,2.95,2.57
-0.32,0.2264357354,-0.6581910028,-0.3699147864,-0.5307306683,3.63,3.35,3.53,3.47,3.54,2.62,3.02
-0.32,0.5638137359,-0.6007330387,-0.3553313364,-0.1604897612,4.36,4.94,4.93,4.49,4.86,3.18,4.52
-0.32,0.4215587616,-0.6329960305,-0.3582904754,-0.3166013353,4.46,4.02,4.29,4.11,3.93,3.89,3.95
-0.32,0.4215587616,-0.6329960305,-0.3582904754,-0.3166013353,4.57,4.77,4.43,4.34,3.81,3.72,4.04
-0.32,0.4215587616,-0.6329960305,-0.3582904754,-0.3166013353,3.11,2.25,3.55,3.54,3.51,3.8,2.99
-0.32,0.5937575991,-0.6685599181,-0.263886776,-0.1276291626,3.47,3.27,3.49,3.74,3.94,2.13,2.97
1.37,0.9623006414,3.609438206,-0.2815290538,0.2768124729,2.84,2.61,3.15,3.75,3.73,3.77,3.64
-0.32,0.5937575991,-0.6685599181,-0.263886776,-0.1276291626,3.27,2.7,3.56,3.13,3.57,3.04,3.59
-0.32,-0.201,0.5100276885,-0.38,-0.9998015448,3.03,3.09,2.6,2.71,2.6,2.51,2.13
-1.17,-0.26,-0.6685599181,-0.381,-1.064548545,2.91,2.22,2.82,2.58,2.52,1.58,3.05
0.52,0.3024491518,-0.1360713594,-0.377126552,-0.4473130294,3.11,3.14,4.07,3.96,3.62,2.77,3.24
-0.32,-0.424,0.4221902945,-0.381,-1.244523258,4.99,4.69,4.11,4.39,4.03,3.42,4.11
-0.32,-0.67,-0.5750718382,-0.381,-1.514485327,3.17,2.63,2.6,3.52,3.29,4.25,3.72
-0.32,-1.35,-0.1147367567,-0.381,-2.260721942,3.93,3.22,3.19,3.5,2.91,3.67,3.73
-0.32,-0.8,0.2450981727,-0.381,-1.65714821,3.46,3.77,4.66,4.16,4.5,4.82,4.51
-0.32,-1.1,0.06612248896,-0.381,-1.986370245,3.52,4.57,3.76,3.88,3.96,3.91,3.98
-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,4.08,3.7,4.01,3.6,4.52,4.13,3.84
-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,3.24,2.9,3.66,3.32,3.55,4.1,3.97
-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,2.95,2.82,2.83,2.88,3.03,4.13,3.45
-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,3.06,3.56,3.46,3.58,3.92,4.35,3.8
-0.32,0.5937575991,-0.6685599181,-0.263886776,-0.1276291626,2.82,2.66,3.39,3.03,3.34,2.17,2.77
0.52,0.3220887717,-0.1598303488,-0.3425000336,-0.4257603772,3.89,3.72,3.62,4.08,4.03,4.32,4.1
0.52,0.3024491518,-0.1360713594,-0.377126552,-0.4473130294,3.14,3.02,3.48,3.18,3.41,3.63,2.59
