,,,,,,,
School Name,Collaborative Teachers,Effective School Leadership,Rigorous Instruction,Supportive Environment,Strong Family-Community Ties,Trust,Student Achievement
"Urban Assembly School for Applied Math and Science, The - [HS] 09X241",3.16,3.59,2.95,3.04,3.55,3.61,3.37
Eximius College Preparatory Academy: A College Board School - [HS] 09X250,4.62,4.33,3.83,4.09,2.97,3.86,3.54
Mott Hall Bronx High School - [HS] 09X252,3.19,3.62,3.55,3.7,3.54,3.24,3.67
Bronx Center for Science and Mathematics - [HS] 09X260,3.18,3.22,3.81,3.31,2.94,3.61,3.95
Validus Preparatory Academy - [HS] 09X263,2.36,2.84,2.62,3.27,3.53,3.04,2.91
Morris Academy for Collaborative Studies - [HS] 09X297,4.46,4.28,3.99,3.61,3.47,3.81,3.48
Bronx Early College Academy for Teaching & Learning - [HS] 09X324,3.95,3.36,3.89,3.8,3.91,3.75,3.98
DreamYard Preparatory School - [HS] 09X329,4.21,3.8,3.66,3.84,4.2,3.83,3.25
Academy for Language and Technology - [HS] 09X365,4.67,4.43,4.88,4.44,4.66,4.57,4.61
School for Excellence - [HS] 09X404,1.52,1.68,1.89,2.78,2.05,2.02,2.85
Bronx High School of Business - [HS] 09X412,3.36,3.51,2.99,3.19,3.08,2.85,2.77
Bronx High School for Medical Science - [HS] 09X413,3.33,3.65,2.63,3.22,3.34,3.48,3.41
"Bronx School for Law, Government and Justice - [HS] 09X505",3.19,3.25,2.57,3.15,2.9,3.42,3.12
Frederick Douglass Academy III Secondary School - [HS] 09X517,3.47,3.6,3.92,3.52,3.94,4.16,3.28
Bronx Leadership Academy High School - [HS] 09X525,3.34,3.48,3.26,3.09,3.1,2.3,3.26
High School for Violin and Dance - [HS] 09X543,2.95,3.25,2.84,3.43,2.42,3.02,3.06
Claremont International HS - [HS] 09X564,4.72,4.09,4.48,3.96,4.08,4.2,3.68
Young Women's Leadership School of the Bronx - [HS] 09X568,4.09,4.21,3.87,3.42,3.41,3.76,3.74
Riverdale / Kingsbridge Academy (Middle School / High School 141) - [HS] 10X141,3.75,3.51,3.43,3.69,3.3,3.3,3.67
Bronx Engineering and Technology Academy - [HS] 10X213,3.96,3.92,3.34,3.54,3.43,4.19,3.22
Theatre Arts Production Company School - [HS] 10X225,3.8,3.64,3.4,3.21,3.11,3.39,3.03
"The Marie Curie School for Medicine, Nursing, and Health Professions - [HS] 10X237",3.18,2.88,3.64,3.56,3.23,3.12,2.92
West Bronx Academy for the Future - [HS] 10X243,3.11,3.26,2.57,3.54,3.41,3.66,3.87
Bronx Academy for Software Engineering (BASE) - [HS] 10X264,3.36,3.52,3.17,3.33,3.64,3.96,3.48
Kingsbridge International High School - [HS] 10X268,2.85,2.8,2.37,2.81,3.3,3.64,2.85
Bronx School of Law and Finance - [HS] 10X284,3.42,3.81,2.76,3.33,4.25,3.95,3.21
International School for Liberal Arts - [HS] 10X342,3.87,3.72,2.88,3.74,3.71,3.91,3.37
World View High School - [HS] 10X353,4,4.34,3.58,3.75,4.08,3.47,4.26
In-Tech Academy (M.S. / High School 368) - [HS] 10X368,2.98,3.01,3.79,3.82,3.09,3,3.46
Knowledge and Power Preparatory Academy International High School (Kappa) - [HS] 10X374,4.32,4.48,4.64,3.85,3.84,3.72,3.85
High School for Teaching and the Professions - [HS] 10X433,4,3.89,3.62,4.01,3.74,4.06,3.47
Belmont Preparatory High School - [HS] 10X434,3.45,3.66,3.42,3.42,2.67,3.41,3.31
Fordham High School for the Arts - [HS] 10X437,4.48,4.05,4.81,4.23,3.39,3.89,4.33
Fordham Leadership Academy - [HS] 10X438,3.43,3.65,3.31,3.54,4.15,3.37,3.75
Bronx High School for Law and Community Service - [HS] 10X439,4.22,4.1,3.96,3.56,3.41,4.1,3.69
DeWitt Clinton High School - [HS] 10X440,2.63,3.09,2.11,3.21,2.76,2.51,3.84
"Celia Cruz Bronx High School of Music, The - [HS] 10X442",3.67,3.56,3.69,3.79,3.64,3.53,4.27
The Bronx High School of Science - [HS] 10X445,4.44,4.57,4.45,4.31,3.33,4.11,4.99
Marble Hill High School for International Studies - [HS] 10X477,3.22,3.16,3.1,3.74,3.64,4.03,4.3
Crotona International High School - [HS] 10X524,3.54,3.53,2.92,3.03,4.16,3.25,4.13
Bronx Theatre High School - [HS] 10X546,3.56,3.82,3.26,3.26,3.69,3.63,3.38
Discovery High School - [HS] 10X549,4.46,4.59,4.51,3.96,3.09,3.5,4.03
High School for Energy and Technology - [HS] 10X565,3.33,3.85,3.28,3.02,4.74,2.65,3.47
High School of American Studies at Lehman College - [HS] 10X696,4.18,3.53,4.47,4.37,3.12,3.63,4.99
Bronx Health Sciences High School - [HS] 11X249,4.2,3.43,3.3,2.79,1.6,2.09,4.07
Bronx High School for Writing and Communication Arts - [HS] 11X253,3.74,3.7,3.4,3.2,4.52,4.07,3
Bronx Lab School - [HS] 11X265,4.2,4.01,3.49,3.51,4.45,4.58,3.28
Academy for Scholarship and Entrepreneurship: A College Board School - [HS] 11X270,3.69,3.66,3.08,3.55,4.5,3.61,3.25
High School of Computers and Technology - [HS] 11X275,3.83,3.8,3.12,3.77,3.63,3.76,3.14
Collegiate Institute for Math and Science - [HS] 11X288,3.15,3.4,3.37,3.69,3.49,2.44,3.51
Bronx Academy of Health Careers - [HS] 11X290,3.84,4.32,2.75,3.88,4.06,3.42,3.14
Astor Collegiate Academy - [HS] 11X299,3.09,3.47,2.57,3.2,3.19,3.5,3.1
Bronx High School for the Visual Arts - [HS] 11X418,3.34,3.37,3.07,2.99,3.33,3.73,3.07
Harry S Truman High School - [HS] 11X455,3.15,2.68,3.3,3.21,3.17,3.06,3.08
Bronxdale High School - [HS] 11X508,4,3.8,4.5,4.02,3.86,4.32,2.99
High School of Language and Innovation - [HS] 11X509,3.57,3.45,3.4,3.86,2.98,2.71,3.94
New World High School - [HS] 11X513,3.2,3.78,3.66,4.04,4.15,3.31,3.86
The Bronxwood Preparatory Academy - [HS] 11X514,3.65,3.67,3.86,3.93,4.15,3.18,3.36
Pelham Preparatory Academy - [HS] 11X542,4.01,3.56,3.58,3.99,3.42,3.34,3.58
High School for Contemporary Arts - [HS] 11X544,3.44,3.77,2.69,3.36,2.36,2.43,2.75
Bronx Aerospace High School - [HS] 11X545,3.89,3.97,4.3,3.88,3.46,3.03,3.53
Mott Hall V - [HS] 12X242,3.34,3.43,3.41,3.52,2.55,3.62,3.62
"Metropolitan High School, The - [HS] 12X248",1.76,2,2.3,2.41,2.21,1.93,2.76
Explorations Academy H.S. - [HS] 12X251,3.62,3.55,3.37,3.99,4.02,3.74,3.09
Bronx Latin - [HS] 12X267,4.35,4.12,3.52,3.57,3.96,3.71,4.05
East Bronx Academy for the Future - [HS] 12X271,4.59,4.73,3.57,3.85,3.59,3.92,3.23
Pan American International High School at Monroe - [HS] 12X388,4.86,4.4,4.9,4.25,4.54,4.59,4.07
The Cinema School - [HS] 12X478,2.58,2.87,3.03,3.41,2.35,1.79,3.37
Bronx Career and College Preparatory High School - [HS] 12X479,3.04,3,2.39,2.84,2.55,2.56,2.57
Bronx Envision Academy - [HS] 12X511,3.79,3.89,3.85,3.85,3.12,3.16,3.06
The Metropolitan Soundview High School - [HS] 12X521,3.1,4.12,2.9,3.38,3.16,2.91,3.13
High School of World Cultures - [HS] 12X550,3.22,2.73,3,3.28,3.47,3.42,3.7
Fannie Lou Hamer Freedom High School - [HS] 12X682,3.78,4.14,4.11,3.93,4.04,4.31,3.42
Wings Academy - [HS] 12X684,3.04,2.79,2.87,2.61,2.9,2.17,2.84
Urban Assembly School of Music and Art - [HS] 13K350,3.76,3.82,2.39,2.92,4.07,3.37,3.16
Brooklyn Community Arts & Media High School (BCAM) - [HS] 13K412,3.5,3.81,3.42,3.57,3.94,3.22,2.93
