School,Station,Node Degree,Closeness,Betweenness,Eigenvector,SA,RI,CT,SE,ESL,SF-CT,T
Central Park East High School - [HS] 04M555,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.418334162,1.663718045,1.274123798,1.207281079,0.2853126269,0.4784748725,0.8448015392
"Heritage School, The - [HS] 04M680",103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,-0.9579135604,-1.755686147,-0.1574353569,-0.1549542711,-0.2255256295,0.5975560714,-0.9171438471
Eagle Academy for Young Men of Harlem - [HS] 05M148,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,-0.3719894646,-0.3716415931,-0.255041663,0.1856045665,0.5066758714,-1.888263955,-0.9507047116
The Urban Assembly School for Global Commerce - [HS] 05M157,125 St and Lexington Av,1.37,0.9623006414,3.609438206,-0.2815290538,-1.397356632,-1.267199834,-0.8081440638,0.2026325084,0.1490890919,0.5529006218,0.1735842492
Mott Hall High School - [HS] 05M304,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,-0.6975028511,-1.145078255,-0.1411676393,-0.8530998882,-0.1233579782,-0.5337153177,0.08968208791
Urban Assembly School for the Performing Arts - [HS] 05M369,125 St and Broadway,-0.32,-0.201,0.5100276885,-0.38,-1.088118915,-0.6158847496,-1.702868536,-1.568273447,-1.775068341,-1.32262826,-2.360261021
Frederick Douglass Academy - [HS] 05M499,Harlem-148 St,-1.17,-0.26,-0.6685599181,-0.381,-1.283426947,-1.796393339,-1.344978747,-1.789636692,-1.911291876,-2.706947197,-0.8164612536
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,135 St and Lenox Av,0.52,0.3024491518,-0.1360713594,-0.377126552,-0.9579135604,-0.5480394284,0.688485962,0.5602192879,-0.0382182688,-0.9356143638,-0.4976330408
"High School for Mathematics, Science and Engineering at City College - [HS] 05M692",137 St-City College,-0.32,-0.424,0.4221902945,-0.381,2.101912273,1.555165531,0.7535568326,1.292420789,0.6599273483,0.03192037685,0.9622645649
Inwood Early College for Health and Information Technologies - [HS] 06M211,Dyckman St and Broadway,-0.32,-0.67,-0.5750718382,-0.381,-0.8602595444,-1.240061705,-1.702868536,-0.1890101549,-0.6001403508,1.267387815,0.3078277072
City College Academy of the Arts - [HS] 06M293,Dyckman St and Nagle Av,-0.32,-1.35,-0.1147367567,-0.381,0.3766913246,-0.4394869144,-0.7430731931,-0.2230660386,-1.247202142,0.4040491232,0.3246081394
Community Health Academy of the Heights - [HS] 06M346,157 St,-0.32,-0.8,0.2450981727,-0.381,-0.3882651339,0.3068116195,1.648281305,0.9007781255,1.460240617,2.115841357,1.633481855
Washington Heights Expeditionary Learning School - [HS] 06M348,181 St and St Nicholas Av,-0.32,-1.1,0.06612248896,-0.381,-0.2906111179,1.39233676,0.1841867142,0.4239957528,0.5407317551,0.7612927198,0.7441189457
The College Academy - [HS] 06M462,191 St,-0.32,-1.23,-0.02406469521,-0.381,0.6208263645,0.2118281697,0.5908796559,-0.05278661983,1.4942965,1.088766017,0.5091928942
High School for Media and Communications - [HS] 06M463,191 St,-0.32,-1.23,-0.02406469521,-0.381,-0.7463298591,-0.8736969704,0.02150953745,-0.5295689925,-0.157413862,1.044110567,0.7273385134
High School for Law and Public Service - [HS] 06M46,191 St,-0.32,-1.23,-0.02406469521,-0.381,-1.21832427,-0.9822494844,-1.328711029,-1.278798435,-1.04286684,1.088766017,-0.1452439636
High School for Health Careers and Sciences - [HS] 06M468,191 St,-0.32,-1.23,-0.02406469521,-0.381,-1.039291907,0.02186127018,-0.303844816,-0.08684250359,0.4726199876,1.416239313,0.4420711652
A. Philip Randolph Campus High School - [HS] 06M540,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,-1.429907971,-1.199354512,-0.4177188397,-1.023379307,-0.5150006414,-1.828723355,-1.286313357
Gregorio Luperon High School for Science and Mathematics - [HS] 06M552,168 St,0.52,0.3220887717,-0.1598303488,-0.3425000336,0.3115886473,0.2389662982,-0.04356133324,0.7645545904,0.6599273483,1.371583864,0.9454841327
Democracy Preparatory Harlem Charter School - [HS] 84M481,135 St and Lenox Av,0.52,0.3024491518,-0.1360713594,-0.377126552,-0.9090865524,-0.7108681994,-0.2713093806,-0.7679601788,-0.3958050483,0.3445085238,-1.588361137
